material_description|purchase_requisition_number|line_type|commodity_code|cost_center|purchase_order_number|currency|vendor_number|purchasing_organization_description|supplier_name_l1|item_number_of_purchase_requisition|requisition_date|supplier_part_number
ZB Demo|PR22971|Non-Catalog Item|Not Set|CH4001|Not Set|USD|Not Set|Not Set|Not Set|1|13 Apr 2022|Not Set
test PR|PR23282|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|Not Set|Not Set|Not Set|1|17 May 2022|Not Set
test PR_line 2|PR23282|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|Not Set|Not Set|Not Set|2|17 May 2022|Not Set
Test|PR23340|Non-Catalog Item|Not Set|Not Set|Not Set|USD|3200000285|Not Set|Test Demo Vendor|1|23 May 2022|Not Set
test PR|PR23341|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|Not Set|Not Set|Not Set|1|23 May 2022|Not Set
test PR_line 2|PR23341|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|Not Set|Not Set|Not Set|2|23 May 2022|Not Set
12|PR23364|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|3200000251|Not Set|SK Cloud Strategy|1|25 May 2022|Not Set
Test|PR23368|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|3200000161|Not Set|DED Ariba Light Supplier|1|26 May 2022|Not Set
Enter a description for this item.C|PR23370|Non-Catalog Item|Not Set|0000001001|Not Set|USD|[Unspecified]|Not Set|[Unspecified]|1|30 May 2022|Not Set
test PR|PR23391|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|Not Set|Not Set|Not Set|1|31 May 2022|Not Set
test PR|PR23392|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|Not Set|Not Set|Not Set|1|31 May 2022|Not Set
test PR|PR23393|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|Not Set|Not Set|Not Set|1|31 May 2022|Not Set
test PR|PR23394|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|Not Set|Not Set|Not Set|1|31 May 2022|Not Set
test PR|PR23395|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|Not Set|Not Set|Not Set|1|31 May 2022|Not Set
test PR|PR23396|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|Not Set|Not Set|Not Set|1|31 May 2022|Not Set
test PR|PR23397|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|Not Set|Not Set|Not Set|1|31 May 2022|Not Set
test PR|PR23398|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|Not Set|Not Set|Not Set|1|31 May 2022|Not Set
test PR|PR23399|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|Not Set|Not Set|Not Set|1|31 May 2022|Not Set
test PR|PR23400|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|Not Set|Not Set|Not Set|1|31 May 2022|Not Set
test PR_line 2|PR23391|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|Not Set|Not Set|Not Set|2|31 May 2022|Not Set
test PR_line 2|PR23392|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|Not Set|Not Set|Not Set|2|31 May 2022|Not Set
test PR_line 2|PR23393|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|Not Set|Not Set|Not Set|2|31 May 2022|Not Set
test PR_line 2|PR23394|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|Not Set|Not Set|Not Set|2|31 May 2022|Not Set
test PR_line 2|PR23395|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|Not Set|Not Set|Not Set|2|31 May 2022|Not Set
test PR_line 2|PR23396|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|Not Set|Not Set|Not Set|2|31 May 2022|Not Set
test PR_line 2|PR23397|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|Not Set|Not Set|Not Set|2|31 May 2022|Not Set
test PR_line 2|PR23398|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|Not Set|Not Set|Not Set|2|31 May 2022|Not Set
test PR_line 2|PR23399|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|Not Set|Not Set|Not Set|2|31 May 2022|Not Set
test PR_line 2|PR23400|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|Not Set|Not Set|Not Set|2|31 May 2022|Not Set
Biulding|PR23477|Non-Catalog Item|Not Set|US1400|Not Set|USD|3200000040|Not Set|Mediacom|1|14 Jun 2022|Not Set
Biulding|PR23477|Non-Catalog Item|Not Set|US1400|Not Set|USD|3200000040|Not Set|Mediacom|2|14 Jun 2022|Not Set
Biulding|PR23477|Non-Catalog Item|Not Set|US1400|Not Set|USD|3200000040|Not Set|Mediacom|3|14 Jun 2022|Not Set
Test|PR23493|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|3200000161|Not Set|DED Ariba Light Supplier|1|16 Jun 2022|Not Set
test PR|PR23902|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|Not Set|Not Set|Not Set|1|12 Jul 2022|Not Set
test PR|PR23904|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|Not Set|Not Set|Not Set|1|12 Jul 2022|Not Set
test PR|PR23905|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|Not Set|Not Set|Not Set|1|12 Jul 2022|Not Set
test PR|PR23906|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|Not Set|Not Set|Not Set|1|12 Jul 2022|Not Set
test PR|PR23907|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|Not Set|Not Set|Not Set|1|12 Jul 2022|Not Set
test PR|PR23908|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|Not Set|Not Set|Not Set|1|12 Jul 2022|Not Set
test PR_line 2|PR23902|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|Not Set|Not Set|Not Set|2|12 Jul 2022|Not Set
test PR_line 2|PR23904|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|Not Set|Not Set|Not Set|2|12 Jul 2022|Not Set
test PR_line 2|PR23905|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|Not Set|Not Set|Not Set|2|12 Jul 2022|Not Set
test PR_line 2|PR23906|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|Not Set|Not Set|Not Set|2|12 Jul 2022|Not Set
test PR_line 2|PR23907|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|Not Set|Not Set|Not Set|2|12 Jul 2022|Not Set
test PR_line 2|PR23908|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|Not Set|Not Set|Not Set|2|12 Jul 2022|Not Set
SAP ActiveAttention Services (CFIN);Period 1 (07/01/2022 – 12/31/2022)|PR233771|Non-Catalog Item|Not Set|Foundation Projects|Unclassified|USD|40002730|Carrier Corporation|SAP AMERICA INC|1|15 Jul 2022|Not Set
SAP ActiveAttention Services (CFIN);Period 1 (07/01/2022 – 12/31/2022)|PR888771|Non-Catalog Item|Not Set|Foundation Projects|Unclassified|USD|40002730|Carrier Corporation|SAP AMERICA INC|1|15 Jul 2022|Not Set
SAP ActiveAttention Services (CFIN);Period 2 (01/01/2023 – 12/31/2023)|PR233771|Non-Catalog Item|Not Set|CENTRAL FINANCE|Unclassified|USD|40002730|Carrier Corporation|SAP AMERICA INC|2|15 Jul 2022|Not Set
SAP ActiveAttention Services (CFIN);Period 2 (01/01/2023 – 12/31/2023)|PR888771|Non-Catalog Item|Not Set|CENTRAL FINANCE|Unclassified|USD|40002730|Carrier Corporation|SAP AMERICA INC|2|15 Jul 2022|Not Set
SAP ActiveAttention Services (CFIN);Period 3 (01/01/2024 – 06/30/2025)|PR233771|Non-Catalog Item|Not Set|Foundation Projects|Unclassified|USD|40002730|Carrier Corporation|SAP AMERICA INC|3|15 Jul 2022|Not Set
SAP ActiveAttention Services (CFIN);Period 3 (01/01/2024 – 06/30/2025)|PR888771|Non-Catalog Item|Not Set|Foundation Projects|Unclassified|USD|40002730|Carrier Corporation|SAP AMERICA INC|3|15 Jul 2022|Not Set
TransCentral to Salesforce - Associated Expenses/Travel|PR235517|Non-Catalog Item|Not Set|JDE Implementation Project|Unclassified|USD|40004435|Carrier Corporation|CGI TECHNOLOGIES AND SOLUTIONS INC|3|18 Jul 2022|Not Set
TransCentral to Salesforce - Go-no-Go Approval|PR235517|Non-Catalog Item|Not Set|JDE Implementation Project|Unclassified|USD|40004435|Carrier Corporation|CGI TECHNOLOGIES AND SOLUTIONS INC|4|18 Jul 2022|Not Set
TransCentral to Salesforce - Milestones 1 through 3|PR235517|Non-Catalog Item|Not Set|JDE Implementation Project|Unclassified|USD|40004435|Carrier Corporation|CGI TECHNOLOGIES AND SOLUTIONS INC|1|18 Jul 2022|Not Set
TransCentral to Salesforce - Milestones 4 & 5|PR235517|Non-Catalog Item|Not Set|JDE Implementation Project|Unclassified|USD|40004435|Carrier Corporation|CGI TECHNOLOGIES AND SOLUTIONS INC|2|18 Jul 2022|Not Set
TransCentral to Salesforce - Order Change Enhancement|PR235517|Non-Catalog Item|Not Set|JDE Implementation Project|Unclassified|USD|40004435|Carrier Corporation|CGI TECHNOLOGIES AND SOLUTIONS INC|5|18 Jul 2022|Not Set
TransCentral to Salesforce - Release 2 Training SOW (Amendment 4)|PR235517|Non-Catalog Item|Not Set|JDE Implementation Project|Unclassified|USD|40004435|Carrier Corporation|CGI TECHNOLOGIES AND SOLUTIONS INC|6|18 Jul 2022|Not Set
TransCentral to Salesforce - Release 3 Training SOW (Amendment 3)|PR235517|Non-Catalog Item|Not Set|JDE Implementation Project|Unclassified|USD|40004435|Carrier Corporation|CGI TECHNOLOGIES AND SOLUTIONS INC|7|18 Jul 2022|Not Set
TransCentral to Salesforce - Schedule Elongation (Amendment 5)|PR235517|Non-Catalog Item|Not Set|JDE Implementation Project|Unclassified|USD|40004435|Carrier Corporation|CGI TECHNOLOGIES AND SOLUTIONS INC|8|18 Jul 2022|Not Set
TransCentral to Salesforce - Schedule Elongation (Amendment 7)  and Schedule Elongation (Amendment 8)|PR235517|Non-Catalog Item|Not Set|JDE Implementation Project|Unclassified|USD|40004435|Carrier Corporation|CGI TECHNOLOGIES AND SOLUTIONS INC|9|18 Jul 2022|Not Set
TK70716710T Continuous Flexing Tray Cable, Wire Size 16 AWG, Number of Conductors 33, Length 100 ft, Voltage 600 V, Nominal Outside Dia. 0.85 in, Jacket Color Gray, Wire Color (1) Green/Yellow, Black with White Numbers, Min. Bend Radius 8 x OD, Shielding|PR235927|Non-Catalog Item|Not Set|CVL-COIL SHOP MAINTENANCE|Unclassified|USD|40000176|Carrier Corporation|WW GRAINGER INC GRAINGER|1|21 Jul 2022|Not Set
R513a training (Air Cooled)|PR235832|Non-Catalog Item|Not Set|Charlotte-Value Stream Mgmt-AC|Unclassified|USD|40002767|Carrier Corporation|SERV I QUIP INC|1|21 Jul 2022|Not Set
ECI - COPPER SURCHARGES - JUNE 2022|PR235921|Non-Catalog Item|Not Set|MATERIAL COSTS|Unclassified|USD|40004395|Carrier Corporation|ELECTRICAL COMPONENTS INTERNATIONAL INC|1|21 Jul 2022|Not Set
Wired - Lift Rental - Q3 & Q4 - 2022|PR235979|Non-Catalog Item|Not Set|RES Vendor Spend|Unclassified|USD|40000212|Carrier Corporation|WIRED COMMUNICATIONS LLC|1|22 Jul 2022|Not Set
2022-2 Collierville LTI 1st shift manufacturing support|PR234274|Non-Catalog Item|Not Set|RES Vendor Spend|Unclassified|USD|40002087|Carrier Corporation|LARSEN AND TOUBRO INFOTECH LIMITED EDISON SQUARE WEST|1|22 Jul 2022|Not Set
2022-2 Collierville LTI 2nd shift manufacturing support|PR234037|Non-Catalog Item|Not Set|RES Vendor Spend|Unclassified|USD|40002087|Carrier Corporation|LARSEN AND TOUBRO INFOTECH LIMITED EDISON SQUARE WEST|1|22 Jul 2022|Not Set
AUC Purchase Settlement - Security Systems - Quote# MK01336566P|PR207699-V3|Non-Catalog Item|Not Set|Bay Area|Unclassified|USD|40008155|Carrier Corporation|CONVERGINT TECHNOLOGIES LLC|1|22 Jul 2022|Not Set
Moving Yearly GP Strategy Invoice process from Non-PO to a PO process.  This will allow GP Strategies the ability to enter monthly cost for services directly in Ariba.|PR217758-V2|Non-Catalog Item|Not Set|WHQ LEADERSHIP & DEVELOPMENT|Unclassified|USD|40015566|Carrier Corporation|GP STRATEGIES CORPORATION|1|22 Jul 2022|Not Set
Chatterjee, Manas|PR210047-V4|Non-Catalog Item|Not Set|DT- Global Cloud Services|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|22 Jul 2022|Not Set
Waste to Energy Program - Heritage|PR236007|Non-Catalog Item|Not Set|CHARLOTTE-E,H & S|Unclassified|USD|40017161|Carrier Corporation|HERITAGE INTERACTIVE SERVICES INC HERITAGE INTERACTIVE SERVICES LLC|1|22 Jul 2022|Not Set
WLS DESKTOP MK710 UNIFY RECEIVER;MFR. Logitech|PR235982|Non-Catalog Item|Not Set|DT- Infra- Service Excellence|Unclassified|USD|40017175|Carrier Corporation|FUTURE TECH ENTERPRISE INC|1|22 Jul 2022|Not Set
TK70828878T Safety Glasses, Series Addison(TM), Gender Unisex, Lens Color Clear, Polarized Lens No, Lens Coating Anti-Fog, Anti-Scratch, Anti-Static, No Foam Lined, Eyewear Frame Design Wraparound, Eyewear Frame Style Frameless, Frame Color Clear, Eyewear|PR236198|Non-Catalog Item|Not Set|CVL-COIL SHOP MAINTENANCE|Unclassified|USD|40000176|Carrier Corporation|WW GRAINGER INC GRAINGER|1|25 Jul 2022|Not Set
Turner, Zachary|PR236189|Non-Catalog Item|Not Set|SERVICE PREPACK|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|25 Jul 2022|Not Set
2022 Kinaxis Subscription Fees|PR231236-V2|Non-Catalog Item|Not Set|CTD Manufacturing|Unclassified|USD|40017684|Carrier Corporation|KINAXIS CORP|1|25 Jul 2022|Not Set
Evoqua water service contract|PR188680-V2|Non-Catalog Item|Not Set|WHQ Advanced Materials|Unclassified|USD|40001613|Carrier Corporation|EWT HOLDINGS III CORP EVOQUA WATER TECHNOLOGIES LLC|1|26 Jul 2022|Not Set
FormingSuite FASTFORM ALC- Annual Maintenance License|PR235683|Non-Catalog Item|Not Set|RES ADVANCED ENGINEERING|Unclassified|USD|40001812|Carrier Corporation|HEXAGON MANUFACTURING INTELLIGENCE INC|1|26 Jul 2022|Not Set
Teleperformance 2022|PR226675-V2|Non-Catalog Item|Not Set|RES NATIONAL ACCOUNTS|Unclassified|USD|40008120|Carrier Corporation|TPUSA FHCS INC|1|26 Jul 2022|Not Set
Teleperformance 2022|PR226675-V2|Non-Catalog Item|Not Set|RES NATIONAL ACCOUNTS|Unclassified|USD|40008120|Carrier Corporation|TPUSA FHCS INC|2|26 Jul 2022|Not Set
Teleperformance 2022|PR226901|Non-Catalog Item|Not Set|RES NATIONAL ACCOUNTS|Unclassified|USD|40008120|Carrier Corporation|TPUSA FHCS INC|1|26 Jul 2022|Not Set
Teleperformance 2022|PR226901-V2|Non-Catalog Item|Not Set|RES NATIONAL ACCOUNTS|Unclassified|USD|40008120|Carrier Corporation|TPUSA FHCS INC|1|26 Jul 2022|Not Set
Teleperformance 2022|PR226902|Non-Catalog Item|Not Set|RES NATIONAL ACCOUNTS|Unclassified|USD|40008120|Carrier Corporation|TPUSA FHCS INC|1|26 Jul 2022|Not Set
Teleperformance 2022|PR226903|Non-Catalog Item|Not Set|RES NATIONAL ACCOUNTS|Unclassified|USD|40008120|Carrier Corporation|TPUSA FHCS INC|1|26 Jul 2022|Not Set
Teleperformance 2022|PR226904|Non-Catalog Item|Not Set|RES NATIONAL ACCOUNTS|Unclassified|USD|40008120|Carrier Corporation|TPUSA FHCS INC|1|26 Jul 2022|Not Set
Teleperformance 2022|PR226905|Non-Catalog Item|Not Set|RES NATIONAL ACCOUNTS|Unclassified|USD|40008120|Carrier Corporation|TPUSA FHCS INC|1|26 Jul 2022|Not Set
Teleperformance 2022|PR226906|Non-Catalog Item|Not Set|RES NATIONAL ACCOUNTS|Unclassified|USD|40008120|Carrier Corporation|TPUSA FHCS INC|1|26 Jul 2022|Not Set
Teleperformance 2022|PR226906-V2|Non-Catalog Item|Not Set|RES NATIONAL ACCOUNTS|Unclassified|USD|40008120|Carrier Corporation|TPUSA FHCS INC|1|26 Jul 2022|Not Set
Teleperformance 2022|PR226907|Non-Catalog Item|Not Set|RES NATIONAL ACCOUNTS|Unclassified|USD|40008120|Carrier Corporation|TPUSA FHCS INC|1|26 Jul 2022|Not Set
Teleperformance 2022|PR226907-V2|Non-Catalog Item|Not Set|RES NATIONAL ACCOUNTS|Unclassified|USD|40008120|Carrier Corporation|TPUSA FHCS INC|1|26 Jul 2022|Not Set
Teleperformance 2022|PR226908|Non-Catalog Item|Not Set|RES NATIONAL ACCOUNTS|Unclassified|USD|40008120|Carrier Corporation|TPUSA FHCS INC|1|26 Jul 2022|Not Set
Teleperformance 2022|PR226908-V2|Non-Catalog Item|Not Set|RES NATIONAL ACCOUNTS|Unclassified|USD|40008120|Carrier Corporation|TPUSA FHCS INC|1|26 Jul 2022|Not Set
Teleperformance 2022|PR226910|Non-Catalog Item|Not Set|RES NATIONAL ACCOUNTS|Unclassified|USD|40008120|Carrier Corporation|TPUSA FHCS INC|1|26 Jul 2022|Not Set
Teleperformance 2022|PR226910-V2|Non-Catalog Item|Not Set|RES NATIONAL ACCOUNTS|Unclassified|USD|40008120|Carrier Corporation|TPUSA FHCS INC|1|26 Jul 2022|Not Set
2-RCD resources for CLT ECN processing_Aug22 (2022-08-31)|PR236201|Non-Catalog Item|Not Set|RC AFTER-MARKET ENGINEERING|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|26 Jul 2022|Not Set
2-RCD resources for CLT ECN processing_Dec22 (2022-12-31)|PR236201|Non-Catalog Item|Not Set|RC AFTER-MARKET ENGINEERING|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|8|26 Jul 2022|Not Set
2-RCD resources for CLT ECN processing_Feb23 (2023-02-28)|PR236201|Non-Catalog Item|Not Set|RC AFTER-MARKET ENGINEERING|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|2|26 Jul 2022|Not Set
2-RCD resources for CLT ECN processing_Jan23 (2023-01-31)|PR236201|Non-Catalog Item|Not Set|RC AFTER-MARKET ENGINEERING|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|5|26 Jul 2022|Not Set
2-RCD resources for CLT ECN processing_Jul22 (2022-07-31)|PR236201|Non-Catalog Item|Not Set|RC AFTER-MARKET ENGINEERING|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|4|26 Jul 2022|Not Set
2-RCD resources for CLT ECN processing_Nov22 (2022-11-30)|PR236201|Non-Catalog Item|Not Set|RC AFTER-MARKET ENGINEERING|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|6|26 Jul 2022|Not Set
2-RCD resources for CLT ECN processing_Oct22 (2022-10-31)|PR236201|Non-Catalog Item|Not Set|RC AFTER-MARKET ENGINEERING|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|3|26 Jul 2022|Not Set
2-RCD resources for CLT ECN processing_Sep22 (2022-09-30)|PR236201|Non-Catalog Item|Not Set|RC AFTER-MARKET ENGINEERING|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|7|26 Jul 2022|Not Set
Edoo, Zinorah|PR236235|Non-Catalog Item|Not Set|WHQ-STAFFING|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|26 Jul 2022|Not Set
Frady, Kristen|PR236303|Non-Catalog Item|Not Set|SERVICE PREPACK|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|26 Jul 2022|Not Set
Gaona, Arianis|PR236275|Non-Catalog Item|Not Set|SERVICE PREPACK|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|26 Jul 2022|Not Set
Guru Admin Support|PR221021-V2|Non-Catalog Item|Not Set|STANDARD DESIGN|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|2|26 Jul 2022|Not Set
Guru Support|PR221021-V2|Non-Catalog Item|Not Set|STANDARD DESIGN|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|26 Jul 2022|Not Set
Harris, Freddie|PR236304|Non-Catalog Item|Not Set|SERVICE PREPACK|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|26 Jul 2022|Not Set
Johnson, Tekeya|PR236274|Non-Catalog Item|Not Set|Plant Management - Athens|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|26 Jul 2022|Not Set
Moss, Ronda|PR236273|Non-Catalog Item|Not Set|SERVICE PREPACK|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|26 Jul 2022|Not Set
Santiago, Wilfredo|PR236233|Non-Catalog Item|Not Set|WHQ-STAFFING|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|26 Jul 2022|Not Set
Services of Edgar J for Aug22 (2022-08-31)|PR236222|Non-Catalog Item|Not Set|CML HVAC eCAT|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|2|26 Jul 2022|Not Set
Services of Edgar J for Jul22 (2022-07-31)|PR236222|Non-Catalog Item|Not Set|CML HVAC eCAT|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|26 Jul 2022|Not Set
Services of Edgar J for Sep22 (2022-09-30)|PR236222|Non-Catalog Item|Not Set|CML HVAC eCAT|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|3|26 Jul 2022|Not Set
Services of Janet Bausman for Aug22 (2022-08-31)|PR236226|Non-Catalog Item|Not Set|CML HVAC eCAT|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|26 Jul 2022|Not Set
Services of Janet Bausman for Jul22 (2022-07-31)|PR236226|Non-Catalog Item|Not Set|CML HVAC eCAT|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|3|26 Jul 2022|Not Set
Services of Janet Bausman for Sep22 (2022-09-30)|PR236226|Non-Catalog Item|Not Set|CML HVAC eCAT|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|2|26 Jul 2022|Not Set
Custom shipping container for RF2019 Test System|PR236285|Non-Catalog Item|Not Set|SOURCING|Unclassified|USD|40017095|Carrier Corporation|G AND L CORPORATION|1|26 Jul 2022|Not Set
Medium-Strength Steel Coupling Nut Class 8, Zinc-Plated, M8 X 1.25 mm Thread|PR236422|Non-Catalog Item|Not Set|Plant Management - Athens|Unclassified|USD|40000074|Carrier Corporation|FASTENAL COMPANY|1|27 Jul 2022|Not Set
plastic head|PR236433|Non-Catalog Item|Not Set|Plant Management - Athens|Unclassified|USD|40000074|Carrier Corporation|FASTENAL COMPANY|1|27 Jul 2022|Not Set
316 Stainless Steel Ring Shim 0.05 Thick, 1/4 ID, Pack of 5|PR236419|Non-Catalog Item|Not Set|Plant Management - Athens|Unclassified|USD|40000134|Carrier Corporation|MCMASTER CARR SUPPLY CO|1|27 Jul 2022|Not Set
plastic head|PR236427|Non-Catalog Item|Not Set|Plant Management - Athens|Unclassified|USD|40000212|Carrier Corporation|WIRED COMMUNICATIONS LLC|1|27 Jul 2022|Not Set
JDE EnterpriseOne 9.2 onsite- Support Work for Carrier Transicold|PR235968-V2|Non-Catalog Item|Not Set|Parts - Expense Accumulator|Unclassified|USD|40002087|Carrier Corporation|LARSEN AND TOUBRO INFOTECH LIMITED EDISON SQUARE WEST|1|27 Jul 2022|Not Set
SERVICE ON FOAM MACHINE|PR236399|Non-Catalog Item|Not Set|RCG Warehouse Transition|Unclassified|USD|40002753|Carrier Corporation|SEALED AIR CORPORATION US|1|27 Jul 2022|Not Set
orange handle|PR236435|Non-Catalog Item|Not Set|Plant Management - Athens|Unclassified|USD|40003084|Carrier Corporation|TUV RHEINLAND OF NORTH AMERICA INC|1|27 Jul 2022|Not Set
Browner, Kizari|PR236439|Non-Catalog Item|Not Set|Plant Management - Athens|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|27 Jul 2022|Not Set
Engineer (Offshore)|PR236343|Non-Catalog Item|Not Set|Carrier Next|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|19|27 Jul 2022|Not Set
